,Tm,#Bat,BatAge,wins,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,old_team,winning_team
0,BAL,48,27.9,81,4.4,162,6007,5485,713,1370,246,20,217,686,44,25,418,1331,0.25,0.307,0.42100000000000004,0.728,96,2307,127,51,20,32,23,990,False,False
1,BOS,51,28.3,78,4.62,162,6237,5640,748,1495,294,33,161,706,71,27,478,1148,0.265,0.325,0.415,0.74,98,2338,127,46,30,42,28,1142,False,False
2,CHW,40,28.2,76,3.84,162,6070,5533,622,1381,260,27,136,595,68,42,404,1231,0.25,0.306,0.38,0.6859999999999999,91,2103,125,65,30,37,22,1065,False,False
3,CLE,49,27.9,81,4.16,161,6109,5439,669,1395,303,29,141,640,86,28,533,1157,0.256,0.325,0.401,0.725,94,2179,134,39,47,50,34,1147,False,False
4,DET,47,28.3,74,4.28,161,6159,5605,689,1515,289,49,151,660,83,51,455,1259,0.27,0.32799999999999996,0.42,0.748,106,2355,152,41,23,35,36,1111,False,False
10,OAK,52,27.9,68,4.28,162,6171,5600,694,1405,277,46,146,661,78,29,475,1119,0.251,0.312,0.395,0.7070000000000001,94,2212,124,40,14,38,21,1102,False,False
11,SEA,51,28.6,76,4.05,162,6131,5544,656,1379,262,22,198,624,69,45,478,1336,0.249,0.311,0.41100000000000003,0.722,102,2279,123,36,38,35,31,1080,True,False
12,TBR,51,28.4,80,3.98,162,6071,5485,644,1383,278,32,167,612,87,45,436,1310,0.252,0.314,0.406,0.72,99,2226,121,84,19,47,22,1075,True,False
